nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
heliotrop peruwiański,heliotropium peruvianum (arborescens),na balkon i taras,"znoszące zacienienie, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna","białe, purpurowe, niebieskie, fioletowe",drobne,,,"rozłożysty, krzaczkowaty",20-90 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, pojemniki, balkony",,baldachogrono,,
hiacynt wodny,eichhornia crassipes,wodne,wodne lub w pobliżu zbiorników,"kwiaty, ulistnienie",,fioletowe,duże,,,roślina wodna,,,,,,słońce,zbiorniki wodne,,,,
jabłoń domowa 'kosztela',malus domestica 'kosztela',"owocowe, warzywne",drzewa owocowe,"owoce, kwiaty","piaszczysto-gliniasta, żyzna","kremowe, białe",,"obojętna, lekko kwaśna",,,1-5 m,,sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, roślina jadalna, duże ogrody, małe ogrody, ogrody przydomowe",,,,owoce
jabłoń domowa 'ligol',malus domestica 'ligol',"owocowe, warzywne","liściaste, drzewa owocowe",owoce,,kremowe,,,,,,"V, IV",sezonowe,,,słońce,,,,,owoce
jabłoń domowa 'lobo',malus domestica 'lobo',"owocowe, warzywne",drzewa owocowe,,,,,,,,,,sezonowe,,,,"ogrody wiejskie, duże ogrody, małe ogrody, ogrody przydomowe",,,czerwone,owoce
jabłoń domowa 'szampion',malus domestica 'szampion',"owocowe, warzywne",drzewa owocowe,,,,,,,,,,sezonowe,,,,"ogrody przydomowe, małe ogrody, duże ogrody, ogrody wiejskie",owoce,,"żółte, czerwone, zielone",owoce
jałowiec chiński 'stricta',juniperus chinensis 'stricta',krzewy,"iglaste, na skalniaki, pojemnikowe, na słoneczne stanowisko",ulistnienie,piaszczysta,,,,,"stożkowaty, zwarty",do 3 m,,zimozielone,,gleba sucha,słońce,"skalniaki, żywopłoty, szpalery, skarpy, ogrody przydomowe, małe ogrody, duże ogrody, zieleń miejska, pojemniki",,,,
jałowiec łuskowy 'blue carpet',juniperus squamata 'blue carpet',krzewy,"iglaste, płożące lub okrywowe, na skalniaki, pojemnikowe, na słoneczne stanowisko",ulistnienie,każda ogrodowa,,,lekko kwaśna,,płożący,,,,,,"słońce, półcień","skalniaki, murki, roślina okrywowa, pojemniki",,,,
jałowiec pospolity 'repanda',juniperus communis 'repanda',krzewy,"iglaste, płożące lub okrywowe, na skalniaki, na słoneczne stanowisko",,małe wymagania glebowe,,,,,płożący,"0,4 m",,,,gleba sucha,słońce,"skalniaki, skarpy, roślina okrywowa, w grupie, parki, zieleń miejska, cmentarze",,,,
jałowiec wirginijski,juniperus virginiana,krzewy,"iglaste, do dużych ogrodów lub parków, na słoneczne stanowisko, ozdobne owoce",cała roślina,"przepuszczalna, lekka, piaszczysta",,,"lekko kwaśna, obojętna",,,5 metrów,,zimozielone,"stożkowata, wyprostowana",,słońce,"skalniaki, nasadzenia naturalistyczne, miejsca eksponowane, pojedynczo, w grupie, ogrody przydomowe, małe ogrody, duże ogrody, parki",,,,
jarmuż,brassica oleracea var. sabellica,"owocowe, warzywne",warzywa,ulistnienie,piaszczysto-gliniasta,,,,,wzniesiony,do 100 cm,,,,gleba umiarkowanie wilgotna,słońce,"roślina lecznicza, roślina jadalna",,,,liście
jarząb brekinia,sorbus torminalis,drzewa,"liściaste, znoszące zacienienie, ozdobne owoce, ozdobne liście",,"żyzna, próchniczna",białe,,lekko zasadowa,,wzniesiony,10-20m,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,półcień,,,,,
jarząb koehnego,sorbus koehneana,drzewa,"liściaste, ozdobne kwiaty, ozdobne owoce, ozdobne liście, na słoneczne stanowisko",,"przepuszczalna, piaszczysto-gliniasta",białe,,"lekko kwaśna, obojętna",,wzniesiony,4-5m,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","żywopłoty, szpalery",,,,
jarząb szwedzki,sorbus intermedia,drzewa,"liściaste, do małych ogrodów, przebarwiające się liście, ozdobne owoce",,,białe,,,elipsoidalne,,10-20 m,"V, VI",,,,,"szpalery, pojedynczo, parki",,,"pomarańczowe, czerwone",
języcznik zwyczajny,phyllitis skolopendrium,byliny,"znoszące zacienienie, ozdobne liście, na wilgotne stanowisko",ulistnienie,"torfowa, próchniczna, przepuszczalna, piaszczysto-gliniasta",,,,,wzniesiony,30-40 cm,,zimozielone,,gleba wilgotna,półcień,"obwódki rabat, murki, pod koronami drzew, nasadzenia naturalistyczne",,,,
jodła balsamiczna 'nana',abies balsamea 'nana',krzewy,"iglaste, na skalniaki",cała roślina,żyzna,,,kwaśna,,"kulisty, zwarty",,,,,gleba wilgotna,półcień,"skalniaki, małe ogrody",,,,
kaladium dwubarwne,caladium bicolor,do wnętrz,znoszące zacienienie,ulistnienie,"torfowa, każda ogrodowa","białe, zielonkawe",niepozorne,lekko kwaśna,torebka,wzniesiony,40 cm,V,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, wnętrza",,,,
kalafior,brassica oleracea var.botrytis,"owocowe, warzywne",warzywa,,próchniczna,,,zasadowa,,,,,,,gleba wilgotna,słońce,roślina jadalna,,,,
kalarepa,brassica oleracea var. gongylodes,"owocowe, warzywne",warzywa,,przepuszczalna,,,,,wzniesiony,40-60 cm,,,,gleba umiarkowanie wilgotna,słońce,roślina jadalna,,,,
kalina japońska,viburnum plicatum,krzewy,"liściaste, do dużych ogrodów lub parków, żywopłotowe, pojemnikowe, trujące, przebarwiające się liście, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna",białe,,,kuliste,wzniesiony,do 2 m,"V, VI, IX",sezonowe,,gleba wilgotna,"półcień, słońce","ogrody przydomowe, małe ogrody, duże ogrody, parki, pojemniki",,baldach,"czerwone, czarne",trujące owoce
kalina koralowa 'roseum',viburnum opulus 'roseum',krzewy,"liściaste, do dużych ogrodów lub parków, znoszące zacienienie, na słoneczne stanowisko, przebarwiające się liście, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, bogata w wapń",białe,duże,zasadowa,,rozłożysty,do 4 m,"V, VI",sezonowe,,gleba wilgotna,"słońce, półcień","brzegi zbiorników wodnych, nasadzenia naturalistyczne, miejsca eksponowane, pojedynczo, w grupie, duże ogrody, zieleń miejska",,baldach,,
kalina koralowa 'sterile',viburnum opulus 'sterile',krzewy,"liściaste, trujące, przebarwiające się liście, ozdobne owoce","kwiaty, ulistnienie",żyzna,białe,,,,,do 4 m,"V, VI",sezonowe,,gleba wilgotna,"słońce, półcień","szpalery, małe ogrody, duże ogrody",,,,
kapusta pekińska,brassica rapa,"owocowe, warzywne",warzywa,,"bogata w azot, bogata w wapń, przepuszczalna",,,,,,,,,,gleba wilgotna,słońce,roślina jadalna,,,,liście
kapusta warzywna głowiasta,brassica oleracea var. capitata,"owocowe, warzywne",warzywa,,"piaszczysto-gliniasta, próchniczna, żyzna",żółte,,,,wzniesiony,do 30cm,,,,gleba wilgotna,"półcień, słońce",roślina jadalna,,grono,,liście
karczoch zwyczajny,cynara scolymus,"owocowe, warzywne",warzywa,"kwiaty, ulistnienie",,fioletowe,,,,wzniesiony,do 2 m,,,,,,roślina jadalna,,,,
karmnik ościsty,sagina subulata,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, kwitnące wiosną",,"lekka, piaszczysta",białe,,,,kobierce,3-5 cm,"IV, V, VI",,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, murki, skarpy, roślina okrywowa",,,,
kielisznik bluszczowaty,calystegia hederacea,pnącza,"na słoneczne stanowisko, kwitnące latem","kwiaty, ulistnienie",próchniczna,różowe,pełne,obojętna,,pnącze,do 200-300cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina pnąca, sadzona przy ogrodzeniach, małe ogrody",,,,
kleome ciernista,cleome spinosa,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,"kompostowa, żyzna, przepuszczalna","białe, różowe, fioletowe",pachnące,,strąki,"wzniesiony, rozłożysty",80-150 cm,"VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, kwiat cięty",,grono,,
klon japoński,acer japonicum,krzewy,"liściaste, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście",,przepuszczalna,purpurowe,,lekko kwaśna,,wzniesiony,3-5m,V,,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"rabaty, brzegi zbiorników wodnych",,,,
klon pospolity 'fassen's black',acer platanoides 'fassen's black',drzewa,"liściaste, parkowe, ozdobne liście",ulistnienie,małe wymagania glebowe,żółte,,,,wzniesiony,,,sezonowe,regularna,,słońce,"pojedynczo, duże ogrody, parki",,,,
knieć błotna,caltha palustris,byliny,"trujące, kwitnące wiosną, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"gliniasta, bagienna",żółte,,,,"krzaczkowaty, wzniesiony","0,15-0,40 m","VI, V, IV, III",,,gleba wilgotna,"półcień, słońce",brzegi zbiorników wodnych,,,,
kobea pnąca,cobaea scandens,pnącza,"na słoneczne stanowisko, kwitnące latem, kwitnące jesienią",,,"niebieskie, fioletowe",,obojętna,,pnącze,2-6m,"VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","na altany, tarasy, balkony",,,,
kocanki ogrodowe,helichrysum bracteatum,"jednoroczne, dwuletnie",na suszone bukiety,kwiaty,"przepuszczalna, każda ogrodowa","wielobarwne, różowe, czerwone, żółte, białe",,lekko kwaśna,niełupka,wzniesiony,20-100cm,"X, IX, VIII, VII",sezonowe,,"gleba umiarkowanie wilgotna, gleba wilgotna",słońce,"rabaty, w grupie, bukiety",cała roślina,koszyczek kwiatowy,,owoce
komelina pospolita,commelina communis,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna",niebieskie,,,,wzniesiony,30-40cm,"VI, VII",sezonowe,,,słońce,"ogrody wiejskie, rabaty",,,,
koper włoski / fenkuł,foeniculum vulgare,"owocowe, warzywne",warzywa,"kwiatostany, owocostany",przepuszczalna,żółte,,zasadowa,,wzniesiony,zwykle do 150cm,"VII, VIII, IX",sezonowe,,,słońce,,,baldach,,
kopytnik pospolity,asarum europaeum,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, trujące, ozdobne liście, kwitnące wiosną, na wilgotne stanowisko",ulistnienie,próchniczna,,,zasadowa,,kobierce,do 10 cm,"III, IV",zimozielone,,gleba wilgotna,"półcień, cień","skalniaki, roślina okrywowa, pod koronami drzew, w grupie, duże ogrody, parki, roślina lecznicza",,,,roślina trująca
kostrzewa nitkowata,festuca filiformis,byliny,"ozdobne liście, trawy ozdobne",ulistnienie,,,,,,kępy,,,sezonowe,,,"słońce, półcień",,,,,
kostrzewa pstra,festuca versicolor,byliny,"ozdobne liście, na suszone bukiety, trawy ozdobne","kwiatostany, ulistnienie",przepuszczalna,,,zasadowa,,kępy,"0,15-0,40 m",,,,gleba sucha,słońce,"skalniaki, rabaty, murki, skarpy, kwiat cięty, bukiety",,wiechowaty,,
krwawnik pospolity,achillea millefolium,byliny,"kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,małe wymagania glebowe,"białe, czerwone, różowe",drobne,,,wzniesiony,"do 0,8 m","VI, VII, VIII, IX, X",sezonowe,,,słońce,"rabaty, w grupie, kwiat cięty, bukiety",,baldach,,
lak pachnący / lak wonny,cheiranthus cheiri,"jednoroczne, dwuletnie","na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące wiosną, na kwiat cięty",kwiaty,przepuszczalna,"żółte, pomarańczowe, czerwone",,,,wzniesiony,30-50cm,"IV, V, VI",,,gleba umiarkowanie wilgotna,słońce,"tarasy, ogrody wiejskie, rabaty, balkony",,,,
lantana pospolita,lantana camara,na balkon i taras,"na słoneczne stanowisko, kwitnące wiosną, kwitnące latem",kwiaty,"próchniczna, przepuszczalna","żółte, pomarańczowe, czerwone",,,,,ok. 100cm,"IV, V, VI, VII, VIII",zimozielone,,,,"tarasy, balkony",,,,
laurencja,laurentia axillaris,na balkon i taras,"na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, ozdobne kwiaty",kwiaty,"każda ogrodowa, przepuszczalna","białe, różowe, niebieskie",drobne,,,"kulisty, zwarty",30-25 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, pojemniki, balkony",kwiaty,,,
lewkonia długopłatkowa (maciejka),matthiola longipetala,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem",,"próchniczna, żyzna","liliowe, różowe",drobne,,,,30-40 cm,"IX, VIII, VII, VI",sezonowe,,,słońce,"tarasy, balkony, pojemniki, małe ogrody, ogrody przydomowe",kwiaty,grono,,
liliowiec 'american revolution',hemerocallis 'american revolution',byliny,"pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"lekka, próchniczna",,dzwonkowate,"lekko zasadowa, obojętna",,wzniesiony,30-90 cm,"VIII, VII, VI, V",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, brzegi zbiorników wodnych",,,,
liliowiec 'diva's choice',hemerocallis 'diva's choice',byliny,"pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"próchniczna, żyzna","zielonkawe, różowe, żółte",,,,,,"VII, VI",sezonowe,,gleba umiarkowanie wilgotna,"półcień, słońce","roślina dekoracyjna, kwiat cięty, duże ogrody, małe ogrody, ogrody przydomowe, nasadzenia naturalistyczne, brzegi zbiorników wodnych, rabaty",,,,
liliowiec 'fooled me',hemerocallis 'fooled me',byliny,"pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"piaszczysto-gliniasta, lekka, próchniczna",żółte,"duże, dzwonkowate","lekko zasadowa, obojętna",,wzniesiony,ok 60 cm,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, brzegi zbiorników wodnych",,,,
liliowiec 'pardon me',hemerocallis 'pardon me',byliny,"pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"piaszczysto-gliniasta, lekka, próchniczna",,dzwonkowate,"obojętna, lekko zasadowa",,wzniesiony,45-60 cm,"VIII, VII, VI",sezonowe,,gleba umiarkowanie wilgotna,słońce,"zbiorniki wodne, rabaty",,,,
liliowiec 'x factor',hemerocallis 'x factor',byliny,"na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"próchniczna, żyzna","wielobarwne, czerwone, żółte",duże,,,,do 30 cm,"IX, VIII, VI",,,,"półcień, słońce","roślina dekoracyjna, obwódki rabat",,,,
lwia paszcza / wyżlin większy,antirrhinum majus,"jednoroczne, dwuletnie","jednoroczne, znoszące zacienienie, na słoneczne stanowisko, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,przepuszczalna,"białe, żółte, pomarańczowe, czerwone, różowe, niebieskie",dzwonkowate,,,,od 25 do 70 cm,"VII, VIII, IX",,,gleba umiarkowanie wilgotna,cień,"rabaty, miejsca eksponowane, ogrody przydomowe",,kłos,,
macierzanka wczesna 'coccineus',thymus praecox,byliny,"płożące lub okrywowe, na słoneczne stanowisko, kwitnące wiosną",cała roślina,"małe wymagania glebowe, przepuszczalna","różowe, fioletowe",wargowe,,,kobierce,do 5 cm,"V, VI",,,gleba umiarkowanie sucha,słońce,"roślina dekoracyjna, skalniaki, obwódki rabat, murki",,,,
macierzanka wczesna 'pygmaeus',thymus praecox 'pygmaeus',byliny,"płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty",kwiaty,uboga,,,,,wzniesiony,do 5 cm,"VI, VII",zimozielone,,,słońce,"skalniaki, rabaty",,,,
maczek kalifornijski,eschscholzia californica,"jednoroczne, dwuletnie","na słoneczne stanowisko, kwitnące latem",,"uboga, przepuszczalna","białe, żółte, pomarańczowe, czerwone, purpurowe",pojedyncze,,,"wzniesiony, kępy",od 30 do 60 cm,"VI, IX",,,gleba umiarkowanie sucha,słońce,"rabaty, pojemniki",kwiaty,,,
malina właściwa,rubus idaeus,"owocowe, warzywne",krzewy owocowe,,"żyzna, próchniczna, piaszczysto-gliniasta",białe,"luźne, niepozorne, drobne",lekko kwaśna,jadalne,"pokładający się, wzniesiony","2-2,5m","V, VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina lecznicza, roślina jadalna","owoce, kwiaty, liście",grono,"żółte, czerwone, czarne",owoce
malwa różowa,alcea rosea,"jednoroczne, dwuletnie","na słoneczne stanowisko, kwitnące latem, dwuletnie, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna","białe, łososiowe, czerwone, różowe","pojedyncze, pełne, duże",,,wzniesiony,"do 2,5 m","VII, VIII, IX",sezonowe,,,słońce,"rabaty, sadzona przy podporach, sadzona przy ogrodzeniach, nasadzenia naturalistyczne, ogrody przydomowe",,,,
marchew zwyczajna,daucus carota,"owocowe, warzywne",warzywa,,każda ogrodowa,,,,,,,,,,,słońce,roślina jadalna,,,,
miesiącznica roczna,lunaria annua,"jednoroczne, dwuletnie","jednoroczne, ozdobne owoce, kwitnące wiosną, kwitnące latem, na suszone bukiety, na wilgotne stanowisko, ozdobne kwiaty","kwiaty, owoce",,"białe, fioletowe","niepozorne, drobne",obojętna,,wzniesiony,60-90cm,"V, VI, VII",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","rabaty, kwiat cięty",kwiaty,grono,,
mięta pieprzowa,mentha piperita,zioła,przyprawy,,"żyzna, próchniczna, bogata w wapń",,,,,krzaczkowaty,,,zimozielone,,gleba wilgotna,słońce,"w grupie, ogrody przydomowe, małe ogrody, roślina jadalna","kwiaty, liście",,,"liście, kwiaty"
mikrobiota syberyjska,microbiota decussata,krzewy,"iglaste, na słoneczne stanowisko",cała roślina,,,,lekko kwaśna,,rozłożysty,zwykle 50-60cm,,zimozielone,,,"słońce, półcień","skalniaki, skarpy, roślina okrywowa",,,,
modrzewnica zwyczajna,andromeda polifonia,krzewy,"liściaste, na skalniaki, znoszące zacienienie, trujące, zimozielone (liściaste), ozdobne liście, ozdobne kwiaty","kwiaty, ulistnienie",torfowa,"białe, różowe",drobne,kwaśna,torebka,"wzniesiony, krzaczkowaty",20 - 40 cm,"V, VI",zimozielone,,gleba umiarkowanie sucha,półcień,"ogrody wrzosowiskowe, skalniaki",,baldachogrono,,
morwa biała,morus alba,"owocowe, warzywne",drzewa owocowe,,"lekka, gliniasta, piaszczysta",żółte,,obojętna,"niełupka, jadalne",wzniesiony,,V,sezonowe,,gleba umiarkowanie wilgotna,słońce,"żywopłoty, roślina jadalna","owoce, kwiaty",pojedynczy,,owoce
morwa czarna,morus nigra,"owocowe, warzywne",drzewa owocowe,,"piaszczysta, gliniasta, lekka",żółte,,obojętna,"niełupka, jadalne",wzniesiony,,"VI, V",sezonowe,,gleba umiarkowanie wilgotna,słońce,"żywopłoty, parki, roślina jadalna","owoce, kwiaty",pojedynczy,,owoce
mydlnica bazyliowata,saponaria ocymoides,na balkon i taras,"na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",,bogata w wapń,różowe,"pojedyncze, drobne",,,płożący,do 25 cm,"VI, VII, V",sezonowe,,"gleba umiarkowanie sucha, gleba sucha",słońce,"skalniaki, roślina okrywowa, balkony",kwiaty,,,
nachyłek wielkokwiatowy,coreopsis grandiflora,byliny,"kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,przepuszczalna,żółte,,,,"krzaczkowaty, wzniesiony",od 60 do 90 cm,"VIII, VI",sezonowe,,gleba umiarkowanie wilgotna,słońce,"balkony, pojemniki, rabaty, kwiat cięty",,koszyczek kwiatowy,,
nasturcja większa,tropaeolum majus,pnącza,"znoszące zacienienie, na słoneczne stanowisko, kwitnące latem",kwiaty,żyzna,"żółte, pomarańczowe",pojedyncze,,,,od 40 do 300 cm,"VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, rabaty, żywopłoty, sadzona przy ogrodzeniach, ogrody przydomowe, pojemniki, balkony, kwiat cięty",,,"żółte, pomarańczowe, czerwone",owoce
nawłoć pospolita,solidago virgaurea,byliny,"znoszące zacienienie, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"uboga, każda ogrodowa",żółte,,,,wzniesiony,do 1 m,"XI, X, IX, VIII",sezonowe,,"gleba wilgotna, gleba sucha","słońce, półcień","żywopłoty, szpalery, nasadzenia naturalistyczne",,wiechowaty,,
